backbone,category,n_fit,seed,alpha_ok,false_alarm_rate,miss_rate,unsure_rate,unsure_rate_good,unsure_rate_defect,accuracy_on_decided
dinov2_s,screw,256,4,0.35,0.0,0.058823529411764705,0.44375,0.34146341463414637,0.4789915966386555,0.9213483146067416
dinov2_s,screw,256,4,0.4,0.0,0.05042016806722689,0.46875,0.4146341463414634,0.48739495798319327,0.9294117647058824
dinov2_s,screw,256,4,0.45,0.0,0.04201680672268908,0.50625,0.5365853658536586,0.4957983193277311,0.9367088607594937
dinov2_s,screw,256,4,0.5,0.0,0.03361344537815126,0.51875,0.5609756097560976,0.5042016806722689,0.948051948051948
dinov2_s,screw,256,4,0.55,0.0,0.025210084033613446,0.53125,0.5853658536585366,0.5126050420168067,0.96
dinov2_s,screw,256,4,0.6,0.0,0.025210084033613446,0.5375,0.6097560975609756,0.5126050420168067,0.9594594594594594
dinov2_s,screw_s448,256,0,0.05,0.0,0.23529411764705882,0.0,0.0,0.0,0.825
dinov2_s,screw_s448,256,0,0.1,0.0,0.16806722689075632,0.05625,0.024390243902439025,0.06722689075630252,0.8675496688741722
dinov2_s,screw_s448,256,0,0.15,0.0,0.12605042016806722,0.09375,0.04878048780487805,0.1092436974789916,0.896551724137931
dinov2_s,screw_s448,256,0,0.2,0.0,0.10084033613445378,0.125,0.0975609756097561,0.13445378151260504,0.9142857142857143
dinov2_s,screw_s448,256,0,0.25,0.0,0.04201680672268908,0.18125,0.14634146341463414,0.19327731092436976,0.9618320610687023
dinov2_s,screw_s448,256,0,0.3,0.0,0.04201680672268908,0.18125,0.14634146341463414,0.19327731092436976,0.9618320610687023
dinov2_s,screw_s448,256,0,0.35,0.0,0.025210084033613446,0.2,0.17073170731707318,0.21008403361344538,0.9765625
dinov2_s,screw_s448,256,0,0.4,0.0,0.008403361344537815,0.25625,0.34146341463414637,0.226890756302521,0.9915966386554622
dinov2_s,screw_s448,256,0,0.45,0.0,0.008403361344537815,0.26875,0.3902439024390244,0.226890756302521,0.9914529914529915
dinov2_s,screw_s448,256,0,0.5,0.0,0.008403361344537815,0.275,0.4146341463414634,0.226890756302521,0.9913793103448276
dinov2_s,screw_s448,256,0,0.55,0.0,0.008403361344537815,0.3,0.5121951219512195,0.226890756302521,0.9910714285714286
